city_cd,city_name,state_cd
ALC,Alcan, AK 
ANC,Anchorage, AK 
BAR,Baker Island, AK
DAC,Daltons Cache, AK 
PIZ,Dew Station Pt Lay Dew, AK
DTH,Dutch Harbor, AK 
EGL,Eagle, AK 
FRB,Fairbanks, AK 
HOM,Homer, AK 
HYD,Hyder, AK 
JUN,Juneau, AK 
5KE,Ketchikan, AK
KET,Ketchikan, AK 
MOS,Moses Point Intermediate, AK
NIK,Nikiski, AK 
NOM,Nom, AK 
PKC,Poker Creek, AK 
ORI,Port Lions Spb, AK
SKA,Skagway, AK 
SNP,St. Paul Island, AK
TKI,Tokeen, AK
WRA,Wrangell, AK 
HSV,Huntsville, AL
MOB,Mobile, AL 
LIA,Little Rock, AR
ROG,Rogers Arpt, AR
DOU,Douglas, AZ 
LUK,Lukeville, AZ 
MAP,Mariposa,AZ
NAC,Naco, AZ 
NOG,Nogales, AZ 
PHO,Phoenix, AZ 
POR,Portal, AZ
SLU,San Luis, AZ 
SAS,Sasabe, AZ 
TUC,Tucson, AZ 
YUI,Yuma, AZ 
AND,Andrade, CA 
BUR,Burbank, CA
CAL,Calexico, CA 
CAO,Campo, CA 
FRE,Fresno, CA 
ICP,Imperial County, CA 
LNB,Long Beach, CA 
LOS,Los Angeles, CA 
BFL,Bakersfield, CA
OAK,Oakland, CA 
ONT,Ontario, CA
OTM,Otay Mesa, CA 
BLT,Pacific, CA 
PSP,Palm Springs, CA
SAC,Sacramento, CA 
SLS,Salinas, CA
SDP,San Diego, CA
SFR,San Francisco, CA 
SNJ,San Jose, CA 
SLO,San Luis Obispo, CA 
SLI,San Luis Obispo, CA
SPC,San Pedro, CA 
SYS,San Ysidro, CA 
SAA,Santa Ana, CA 
STO,Stockton, CA
TEC,Tecate, CA 
TRV,Travis, CA 
APA,Arapahoe County, CO
ASE,Aspen, CO
COS,Colorado Springs, CO
DEN,Denver, CO 
DRO,Durango, CO
BDL,Bradley International, CT
BGC,Bridgeport, CT 
GRT,Groton, CT 
HAR,Hartford, CT 
NWH,New Haven, CT 
NWL,New London, CT 
TST,Newington Data Center Test, CT
WAS,Washington,DC
DOV,Dover Afb, DE
DVD,Dover, DE 
WLL,Wilmington, DE 
BOC,Bocagrande, FL 
SRQ,Sarasota, FL
CAN,Cape Canaveral, FL 
DAB,Daytona Beach International, FL
FRN,Fernandina, FL 
FTL,Fort Lauderdale, FL 
FMY,Fort Myers, FL 
FPF,Fort Pierce, FL 
HUR,Hurlburt Field, FL
GNV,Gainesville, FL
JAC,Jacksonville, FL 
KEY,Key West, FL 
LEE,Leesburg Municipal Airport, FL
MLB,Melbourne, FL
MIA,Miami, FL 
APF,Naples, FL
OPF,Opa Locka, FL
ORL,Orlando, FL 
PAN,Panama City, FL 
PEN,Pensacola, FL 
PCF,Port Canaveral, FL 
PEV,Port Everglades, FL 
PSJ,Port St Joe, FL 
SFB,Sanford, FL 
SGJ,St Augustine Arpt, FL
SAU,St Augustine, FL 
FPR,St Lucie County, FL
SPE,St Petersburg, FL 
TAM,Tampa, FL 
WPB,West Palm Beach, FL 
ATL,Atlanta, GA 
BRU,Brunswick, GA 
AGS,Augusta, GA
SAV,Savannah, GA 
AGA,Agana, GU 
HHW,Honolulu, HI 
OGG,Maui, HI
KOA,Kona, HI 
LIH,Lihue, HI 
CID,Cedar Rapids/Iowa City, IA
DSM,Des Moines, IA
BOI,Air Term. (Gowen Fld) Boise, ID
EPI,Eastport, ID 
IDA,Idaho Falls, ID
PTL,Porthill, ID 
SPI,Springfield, IL
CHI,Chicago, IL 
DPA,Dupage County, IL
PIA,Greater Peoria, IL
RFD,Greater Rockford, IL
UGN,Waukegan, IL
GAR,Gary, IN 
HMM,Hammond, IN 
INP,Indianapolis, IN 
MRL,Merrillville, IN 
SBN,South Bend, IN
ICT,Witchita, KS
LEX,Lexington, KY
LOU,Louisville/Jefferson County metro government, KY 
BTN,Baton Rouge, LA 
LKC,Lake Charles, LA 
LAK,Lake Charles, LA
MLU,Monroe, LA
MGC,Morgan City, LA 
NOL,New Orleans, LA 
BOS,Boston, MA 
GLO,Gloucester, MA 
BED,Bedford, MA
LYN,Lynden, WA 
ADW,Andrews Afb, MD
BAL,Baltimore, MD 
MKG,Muskegon, MD
PAX,Patuxent River, MD 
BGM,Bangor, ME 
BOO,Boothbay Harbor, ME 
BWM,Bridgewater, ME 
BCK,Buckport, ME 
CLS,Calais, ME 
CRB,Caribou, ME 
COB,Coburn Gore, ME 
EST,Eastcourt, ME 
EPT,Eastport Municipal, ME
EPM,Eastport, ME 
FOR,Forest City, ME 
FTF,Fort Fairfield, ME 
FTK,Fort Kent, ME 
HML,Hamiin, ME 
HTM,Houlton, ME 
JKM,Jackman, ME 
KAL,Kalispel, MT 
LIM,Limestone, ME 
LUB,Lubec, ME 
MAD,Madawaska, ME 
POM,Portland, ME 
RGM,Rangeley, ME
SBR,South Brewer, ME 
SRL,St Aurelie, ME 
SPA,St Pampile, ME 
VNB,Van Buren, ME 
VCB,Vanceboro, ME 
AGN,Algonac, MI 
ALP,Alpena, MI 
BCY,Bay City, MI 
DET,Detroit, MI 
GRP,Grand Rapids, MI
GRO,Grosse Isle, MI 
ISL,Isle Royale, MI 
MRC,Marine City, MI 
MRY,Marysville, MI 
PTK,Pontiac, MI
PHU,Port Huron, MI 
RBT,Roberts Landing, MI 
SAG,Saginaw, MI 
SSM,Sault Ste. Marie, MI 
SCL,St Clair, MI 
YIP,Ypsilanti, MI
BAU,Baudette, MN 
CAR,Caribou Municipal Airport, MN
